,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],0.01,1.01,-1.96,1.83,0.01,0.02,5422.0,2192.0,1.0
theta[1],0.02,0.98,-1.88,1.79,0.01,0.02,5046.0,2889.0,1.0
theta[2],-0.01,1.01,-1.92,1.85,0.02,0.02,4672.0,2114.0,1.0
theta[3],-0.02,0.98,-1.9,1.76,0.01,0.02,5711.0,3064.0,1.0
theta[4],-0.02,0.98,-1.85,1.82,0.01,0.02,5320.0,2678.0,1.0
theta[5],0.01,0.98,-1.8,1.82,0.01,0.02,5535.0,3362.0,1.0
theta[6],-0.01,1.0,-1.98,1.8,0.01,0.02,5326.0,2603.0,1.0
theta[7],0.01,0.98,-1.84,1.86,0.01,0.02,5583.0,2535.0,1.0
theta[8],-0.02,0.98,-1.83,1.86,0.01,0.02,5326.0,3300.0,1.0
theta[9],-0.02,1.0,-1.93,1.84,0.01,0.02,4991.0,2277.0,1.0
theta[10],0.02,1.01,-1.84,1.91,0.01,0.02,4858.0,2653.0,1.0
theta[11],-0.02,1.0,-1.92,1.83,0.01,0.02,4900.0,2761.0,1.0
theta[12],0.01,1.02,-1.77,2.04,0.01,0.02,5194.0,3162.0,1.0
theta[13],0.02,1.0,-1.86,2.0,0.01,0.02,5104.0,2804.0,1.0
theta[14],-0.0,1.0,-1.89,1.9,0.01,0.02,5155.0,2836.0,1.0
theta[15],0.01,1.0,-1.82,2.0,0.01,0.02,5592.0,2954.0,1.0
theta[16],-0.02,0.96,-1.82,1.8,0.01,0.02,4966.0,2623.0,1.0
theta[17],-0.0,0.98,-1.84,1.86,0.01,0.02,5363.0,3084.0,1.0
theta[18],0.01,1.01,-1.78,1.99,0.01,0.02,4992.0,2645.0,1.0
theta[19],-0.01,1.03,-1.8,2.05,0.02,0.02,4553.0,2871.0,1.0
theta[20],0.03,1.01,-1.71,2.13,0.01,0.02,6180.0,2579.0,1.0
theta[21],0.03,0.97,-1.74,1.94,0.01,0.02,4685.0,2586.0,1.0
theta[22],-0.02,0.98,-1.79,1.88,0.02,0.02,4398.0,2620.0,1.0
theta[23],0.0,0.98,-1.78,1.9,0.02,0.02,4533.0,2907.0,1.0
theta[24],-0.02,1.0,-1.87,1.85,0.01,0.02,4856.0,2703.0,1.0
theta[25],0.01,1.06,-2.01,1.97,0.02,0.02,4298.0,2693.0,1.0
theta[26],0.01,1.03,-1.92,1.92,0.02,0.02,4450.0,2756.0,1.0
theta[27],0.01,0.96,-1.93,1.74,0.01,0.02,5791.0,3023.0,1.0
theta[28],0.01,0.99,-1.8,1.94,0.01,0.02,5460.0,2630.0,1.0
theta[29],-0.03,0.98,-1.79,1.87,0.01,0.02,5379.0,2681.0,1.0
theta[30],-0.0,0.97,-1.73,1.89,0.01,0.02,5165.0,2640.0,1.0
theta[31],-0.02,1.0,-1.83,1.95,0.01,0.02,5144.0,2950.0,1.0
theta[32],0.01,1.0,-1.98,1.78,0.01,0.02,5513.0,2837.0,1.0
theta[33],0.0,0.99,-1.9,1.75,0.01,0.02,5195.0,2508.0,1.0
theta[34],0.0,0.99,-1.82,1.86,0.01,0.02,5353.0,3139.0,1.0
theta[35],0.0,1.0,-1.9,1.94,0.01,0.02,5592.0,3092.0,1.0
theta[36],-0.0,0.98,-1.79,1.87,0.01,0.02,5547.0,2838.0,1.0
theta[37],0.02,1.0,-1.86,1.85,0.01,0.02,5234.0,2930.0,1.0
theta[38],-0.01,1.0,-1.79,1.95,0.01,0.02,5473.0,2929.0,1.0
theta[39],0.02,1.03,-1.83,2.02,0.01,0.02,5309.0,2949.0,1.0
theta[40],0.0,1.0,-1.85,1.84,0.01,0.02,4766.0,2719.0,1.0
theta[41],-0.01,1.02,-1.91,1.95,0.01,0.02,5161.0,2396.0,1.0
theta[42],-0.01,0.98,-1.9,1.83,0.02,0.02,4599.0,2836.0,1.0
theta[43],0.01,1.0,-1.95,1.77,0.01,0.02,5472.0,2938.0,1.01
theta[44],-0.0,0.97,-1.71,1.99,0.01,0.02,5547.0,2990.0,1.0
theta[45],0.0,0.99,-1.86,1.8,0.01,0.02,5237.0,2751.0,1.0
theta[46],-0.01,0.98,-1.89,1.76,0.01,0.02,4860.0,2723.0,1.0
theta[47],-0.02,1.01,-1.86,1.94,0.02,0.02,4606.0,2805.0,1.0
theta[48],-0.0,1.0,-1.9,1.82,0.01,0.02,4923.0,2852.0,1.0
theta[49],0.0,0.99,-1.9,1.84,0.01,0.02,5836.0,2902.0,1.0
theta[50],0.5,0.32,-0.02,1.15,0.0,0.01,4867.0,2438.0,1.0
