,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],-0.16,1.06,-2.21,1.78,0.0,0.01,51240.0,26984.0,1.0
theta[1],0.0,1.0,-1.88,1.86,0.0,0.01,52594.0,26122.0,1.0
theta[2],0.0,1.0,-1.88,1.85,0.0,0.01,54213.0,26273.0,1.0
theta[3],-0.0,1.0,-1.88,1.87,0.0,0.01,50122.0,26070.0,1.0
theta[4],-0.0,1.01,-1.91,1.89,0.0,0.01,49979.0,25674.0,1.0
theta[5],-0.0,1.02,-1.91,1.92,0.0,0.01,50582.0,24740.0,1.0
theta[6],-0.01,0.99,-1.86,1.87,0.0,0.01,46510.0,26018.0,1.0
theta[7],-0.01,1.01,-1.89,1.92,0.0,0.01,51406.0,26157.0,1.0
theta[8],0.01,1.0,-1.88,1.87,0.0,0.01,50439.0,24877.0,1.0
theta[9],-0.0,1.0,-1.86,1.88,0.0,0.01,46942.0,25954.0,1.0
theta[10],-0.01,1.01,-1.9,1.86,0.0,0.01,51767.0,26318.0,1.0
theta[11],-0.0,1.03,-1.97,1.88,0.0,0.01,45233.0,26896.0,1.0
theta[12],0.0,0.99,-1.89,1.84,0.0,0.01,48998.0,25807.0,1.0
theta[13],0.01,1.01,-1.92,1.86,0.0,0.01,48334.0,25193.0,1.0
theta[14],0.0,1.0,-1.84,1.91,0.0,0.01,49555.0,25847.0,1.0
theta[15],-0.01,0.99,-1.81,1.91,0.0,0.01,46272.0,25157.0,1.0
theta[16],0.0,1.0,-1.88,1.86,0.0,0.01,47268.0,24932.0,1.0
theta[17],0.02,1.01,-1.91,1.92,0.0,0.01,46597.0,25283.0,1.0
theta[18],0.02,1.01,-1.83,1.98,0.0,0.01,46756.0,26064.0,1.0
theta[19],-0.0,0.99,-1.83,1.89,0.0,0.01,45950.0,26877.0,1.0
theta[20],-0.0,1.0,-1.86,1.89,0.0,0.01,52499.0,25662.0,1.0
theta[21],0.01,1.0,-1.86,1.91,0.0,0.01,55057.0,25357.0,1.0
theta[22],-0.0,1.01,-1.91,1.91,0.0,0.01,47573.0,24696.0,1.0
theta[23],0.01,1.0,-1.9,1.87,0.0,0.01,42927.0,24227.0,1.0
theta[24],0.0,1.01,-1.94,1.86,0.0,0.01,54552.0,26496.0,1.0
theta[25],-0.01,1.0,-1.9,1.89,0.0,0.01,50145.0,25375.0,1.0
theta[26],-0.01,1.0,-1.88,1.88,0.0,0.01,48103.0,26146.0,1.0
theta[27],-0.01,1.01,-1.85,1.93,0.0,0.01,48975.0,26068.0,1.0
theta[28],0.0,1.01,-1.85,1.93,0.0,0.01,45844.0,26044.0,1.0
theta[29],0.0,1.0,-1.82,1.93,0.0,0.01,52237.0,23806.0,1.0
theta[30],-0.02,1.0,-1.9,1.86,0.0,0.01,54413.0,25868.0,1.0
theta[31],-0.0,1.0,-1.92,1.83,0.0,0.01,51494.0,25005.0,1.0
theta[32],-0.0,1.0,-1.93,1.83,0.0,0.01,50493.0,25376.0,1.0
theta[33],0.0,1.01,-1.84,1.94,0.0,0.01,52729.0,25951.0,1.0
theta[34],-0.0,1.0,-1.86,1.93,0.0,0.01,52387.0,23959.0,1.0
theta[35],-0.01,1.0,-1.94,1.84,0.0,0.01,47211.0,25587.0,1.0
theta[36],0.0,1.0,-1.89,1.88,0.0,0.01,50079.0,25513.0,1.0
theta[37],0.0,1.01,-1.93,1.88,0.0,0.01,58898.0,25918.0,1.0
theta[38],0.01,1.0,-1.88,1.88,0.0,0.01,48160.0,25680.0,1.0
theta[39],-0.0,1.0,-1.83,1.93,0.0,0.01,47927.0,25756.0,1.0
theta[40],0.0,0.99,-1.88,1.87,0.0,0.01,51468.0,25896.0,1.0
theta[41],0.0,1.0,-1.92,1.85,0.0,0.01,51839.0,24837.0,1.0
theta[42],0.0,1.01,-1.88,1.93,0.0,0.01,46529.0,24498.0,1.0
theta[43],-0.0,1.01,-1.89,1.92,0.0,0.01,50275.0,26079.0,1.0
theta[44],-0.01,1.0,-1.9,1.85,0.0,0.01,51962.0,26309.0,1.0
theta[45],0.0,1.01,-1.91,1.9,0.0,0.01,52947.0,25658.0,1.0
theta[46],0.0,1.0,-1.83,1.91,0.0,0.01,54383.0,26532.0,1.0
theta[47],0.0,1.0,-1.87,1.89,0.0,0.01,49170.0,26076.0,1.0
theta[48],-0.0,1.01,-1.91,1.86,0.0,0.01,49179.0,25965.0,1.0
theta[49],0.0,1.0,-1.9,1.87,0.0,0.01,51871.0,25455.0,1.0
theta[50],0.33,0.39,-0.41,1.04,0.0,0.0,52721.0,23754.0,1.0
