,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],0.33,0.74,-0.89,1.7,0.32,0.11,6.0,25.0,1.91
theta[1],0.06,0.84,-1.58,1.4,0.39,0.18,5.0,26.0,2.44
theta[2],0.17,1.18,-1.82,1.92,0.57,0.21,5.0,14.0,2.89
theta[3],1.66,0.98,-0.13,3.34,0.45,0.16,5.0,19.0,2.1
theta[4],0.14,0.78,-1.67,1.41,0.36,0.29,5.0,11.0,2.09
theta[5],0.33,0.75,-1.13,1.45,0.34,0.18,5.0,17.0,2.05
theta[6],1.37,0.8,-0.14,2.84,0.35,0.19,6.0,12.0,1.93
theta[7],0.81,1.25,-1.66,2.54,0.6,0.31,5.0,14.0,2.71
theta[8],0.2,0.86,-1.7,1.41,0.4,0.28,5.0,11.0,2.0
theta[9],-0.14,0.55,-1.05,0.99,0.21,0.11,6.0,13.0,1.67
theta[10],-0.06,0.78,-1.92,0.9,0.37,0.26,5.0,13.0,2.13
theta[11],0.45,0.46,-0.38,1.28,0.12,0.04,15.0,43.0,1.19
theta[12],-0.63,0.75,-2.02,0.78,0.33,0.18,6.0,11.0,1.97
theta[13],0.39,0.82,-0.63,2.02,0.39,0.2,5.0,18.0,2.13
theta[14],0.12,1.24,-2.23,1.83,0.59,0.24,5.0,18.0,2.25
theta[15],0.44,1.06,-1.56,1.99,0.5,0.21,5.0,14.0,2.47
theta[16],4.31,0.14,4.04,4.57,0.01,0.0,218.0,387.0,1.02
theta[17],-0.7,0.97,-2.57,0.68,0.46,0.23,5.0,18.0,2.23
theta[18],0.02,0.86,-1.93,1.31,0.39,0.22,5.0,12.0,2.03
theta[19],4.93,0.06,4.82,5.0,0.0,0.0,727.0,645.0,1.0
theta[20],0.52,0.79,-0.92,1.63,0.35,0.13,6.0,27.0,1.74
theta[21],-0.76,1.07,-2.82,0.93,0.48,0.19,5.0,25.0,2.02
theta[22],0.38,0.6,-0.92,1.3,0.23,0.09,8.0,23.0,1.54
theta[23],0.2,1.54,-1.81,3.01,0.74,0.36,5.0,12.0,2.47
theta[24],1.0,0.59,0.0,2.29,0.21,0.1,8.0,24.0,1.46
theta[25],-0.66,0.86,-2.2,0.69,0.38,0.14,6.0,14.0,1.93
theta[26],0.1,0.86,-1.06,1.66,0.41,0.14,5.0,25.0,2.29
theta[27],0.12,0.96,-1.57,1.51,0.45,0.14,5.0,17.0,2.15
theta[28],-0.15,0.76,-1.51,0.94,0.34,0.08,6.0,57.0,1.83
theta[29],0.2,0.66,-1.06,1.23,0.29,0.11,5.0,15.0,2.0
theta[30],-0.1,0.88,-2.02,1.12,0.39,0.24,6.0,12.0,1.83
theta[31],-1.07,0.72,-2.26,0.19,0.33,0.14,5.0,13.0,2.35
theta[32],0.66,1.01,-0.65,2.63,0.48,0.27,6.0,27.0,1.89
theta[33],-0.22,0.8,-1.44,1.39,0.36,0.19,5.0,15.0,2.25
theta[34],0.56,0.56,-0.27,1.77,0.21,0.13,7.0,14.0,1.57
theta[35],0.46,1.56,-2.35,2.46,0.76,0.34,5.0,15.0,2.37
theta[36],2.33,0.19,1.99,2.69,0.02,0.01,59.0,192.0,1.05
theta[37],-0.01,0.64,-1.01,1.3,0.24,0.08,7.0,31.0,1.52
theta[38],-0.2,0.5,-1.04,0.8,0.2,0.1,7.0,13.0,1.65
theta[39],0.1,0.96,-1.44,1.89,0.44,0.17,5.0,12.0,2.27
theta[40],-0.24,1.21,-2.01,1.71,0.56,0.21,5.0,14.0,2.39
theta[41],-0.44,1.17,-2.64,1.62,0.53,0.29,5.0,11.0,2.06
theta[42],0.23,0.98,-1.26,1.83,0.46,0.19,5.0,22.0,2.46
theta[43],0.33,0.61,-0.65,1.58,0.26,0.15,6.0,24.0,1.87
theta[44],0.07,0.86,-1.76,1.36,0.38,0.14,5.0,24.0,1.97
theta[45],-0.54,0.8,-2.06,0.64,0.35,0.16,6.0,15.0,1.95
theta[46],0.24,0.84,-1.03,1.84,0.38,0.17,5.0,13.0,2.09
theta[47],-1.36,0.81,-3.01,0.19,0.37,0.23,5.0,11.0,2.15
theta[48],0.31,1.12,-1.33,2.65,0.52,0.24,5.0,12.0,2.33
theta[49],-0.52,0.84,-2.16,0.97,0.38,0.21,5.0,12.0,2.24
theta[50],-0.03,1.09,-2.42,1.25,0.51,0.33,6.0,14.0,1.84
