,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],0.0,1.0,-1.87,1.89,0.0,0.01,50852.0,26293.0,1.0
theta[1],0.0,1.0,-1.91,1.86,0.0,0.0,44796.0,24825.0,1.0
theta[2],0.0,0.99,-1.86,1.84,0.0,0.01,48281.0,26568.0,1.0
theta[3],-2.9,0.87,-4.56,-1.32,0.0,0.0,31312.0,13794.0,1.0
theta[4],-0.06,0.99,-1.92,1.8,0.0,0.01,48128.0,24445.0,1.0
theta[5],-0.0,1.0,-1.89,1.89,0.0,0.01,48394.0,26138.0,1.0
theta[6],0.02,1.0,-1.82,1.93,0.0,0.01,44532.0,25201.0,1.0
theta[7],-0.0,1.0,-1.92,1.85,0.0,0.01,49677.0,26686.0,1.0
theta[8],-0.06,0.99,-1.88,1.82,0.0,0.01,46962.0,25473.0,1.0
theta[9],-0.0,1.0,-1.84,1.91,0.0,0.01,54457.0,25896.0,1.0
theta[10],0.01,1.0,-1.85,1.89,0.0,0.01,51113.0,24790.0,1.0
theta[11],0.03,1.0,-1.9,1.87,0.0,0.0,42590.0,26798.0,1.0
theta[12],0.01,0.99,-1.88,1.84,0.0,0.01,52135.0,25946.0,1.0
theta[13],0.0,1.0,-1.88,1.87,0.0,0.01,50080.0,25987.0,1.0
theta[14],-0.0,0.99,-1.88,1.85,0.0,0.01,56176.0,26561.0,1.0
theta[15],-0.0,1.0,-1.91,1.86,0.0,0.0,46399.0,26459.0,1.0
theta[16],-4.99,0.01,-5.0,-4.98,0.0,0.0,38409.0,19666.0,1.0
theta[17],0.0,1.0,-1.89,1.88,0.0,0.01,52311.0,25225.0,1.0
theta[18],0.06,0.99,-1.79,1.94,0.0,0.01,52561.0,25700.0,1.0
theta[19],1.02,0.19,0.66,1.37,0.0,0.0,50536.0,26527.0,1.0
theta[20],-0.01,1.0,-1.86,1.88,0.0,0.01,50790.0,26524.0,1.0
theta[21],0.42,0.99,-1.38,2.33,0.0,0.01,51882.0,24652.0,1.0
theta[22],0.0,1.0,-1.87,1.9,0.0,0.01,50596.0,26229.0,1.0
theta[23],0.01,1.0,-1.85,1.88,0.0,0.01,45418.0,25177.0,1.0
theta[24],-0.01,1.0,-1.88,1.86,0.0,0.01,50683.0,25629.0,1.0
theta[25],0.0,1.0,-1.95,1.81,0.0,0.01,51056.0,25918.0,1.0
theta[26],-0.03,1.0,-1.89,1.88,0.0,0.01,49828.0,25891.0,1.0
theta[27],-0.0,1.0,-1.84,1.89,0.0,0.0,42921.0,26901.0,1.0
theta[28],-0.01,1.0,-1.91,1.88,0.0,0.01,50056.0,25082.0,1.0
theta[29],0.0,1.0,-1.84,1.92,0.0,0.01,51407.0,26251.0,1.0
theta[30],-0.08,1.0,-1.88,1.88,0.0,0.01,49072.0,25323.0,1.0
theta[31],2.54,0.92,0.87,4.32,0.0,0.01,34667.0,14079.0,1.0
theta[32],-0.01,0.99,-1.91,1.83,0.0,0.01,54743.0,26755.0,1.0
theta[33],-0.01,0.99,-1.91,1.85,0.0,0.01,51786.0,26219.0,1.0
theta[34],-0.0,1.01,-1.91,1.88,0.0,0.01,50129.0,26045.0,1.0
theta[35],0.01,1.0,-1.89,1.88,0.0,0.01,44136.0,25614.0,1.0
theta[36],1.96,0.22,1.56,2.38,0.0,0.0,49880.0,26843.0,1.0
theta[37],-0.01,1.0,-1.83,1.93,0.0,0.01,49284.0,24983.0,1.0
theta[38],-0.0,1.0,-1.88,1.88,0.0,0.01,47976.0,26120.0,1.0
theta[39],-0.0,1.01,-1.86,1.9,0.0,0.01,48120.0,25151.0,1.0
theta[40],0.0,0.99,-1.85,1.88,0.0,0.01,47404.0,25551.0,1.0
theta[41],-0.0,1.0,-1.92,1.87,0.0,0.01,53751.0,25735.0,1.0
theta[42],-0.0,1.0,-1.88,1.86,0.0,0.01,51505.0,24843.0,1.0
theta[43],-0.0,1.0,-1.89,1.86,0.0,0.01,52455.0,24703.0,1.0
theta[44],0.01,0.98,-1.86,1.82,0.0,0.0,48423.0,25631.0,1.0
theta[45],0.0,1.0,-1.84,1.91,0.0,0.01,50069.0,26523.0,1.0
theta[46],-0.01,1.0,-1.86,1.91,0.0,0.01,51131.0,25964.0,1.0
theta[47],2.43,0.86,0.79,4.04,0.0,0.0,36014.0,16617.0,1.0
theta[48],-0.01,0.99,-1.89,1.84,0.0,0.01,52540.0,23722.0,1.0
theta[49],-0.0,1.0,-1.92,1.82,0.0,0.01,51391.0,26706.0,1.0
theta[50],-0.01,0.99,-1.87,1.83,0.0,0.01,58751.0,27020.0,1.0
