,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],0.03,0.86,-2.12,1.56,0.19,0.18,17.0,36.0,1.48
theta[1],-0.57,0.86,-1.57,1.09,0.34,0.14,6.0,28.0,1.82
theta[2],-0.62,0.76,-1.54,0.88,0.28,0.1,8.0,15.0,1.49
theta[3],0.63,1.37,-1.5,2.72,0.64,0.3,5.0,15.0,2.06
theta[4],0.47,1.22,-1.29,2.26,0.54,0.2,6.0,34.0,2.07
theta[5],0.25,0.79,-1.67,1.64,0.21,0.14,12.0,32.0,1.63
theta[6],-0.33,1.63,-2.83,1.46,0.75,0.31,5.0,5.0,2.01
theta[7],0.27,0.7,-1.35,1.35,0.14,0.15,27.0,64.0,1.49
theta[8],0.29,0.89,-1.22,2.34,0.2,0.12,20.0,48.0,1.18
theta[9],-0.69,0.72,-2.05,0.96,0.14,0.16,20.0,39.0,1.16
theta[10],-0.28,0.78,-1.64,1.06,0.27,0.12,9.0,29.0,1.45
theta[11],-0.16,1.12,-1.52,1.39,0.48,0.09,6.0,65.0,1.67
theta[12],-0.05,0.81,-0.82,1.76,0.26,0.13,10.0,46.0,1.58
theta[13],-0.15,0.92,-1.54,1.1,0.38,0.04,7.0,26.0,1.55
theta[14],0.27,0.82,-1.75,1.82,0.26,0.22,10.0,25.0,1.55
theta[15],0.05,0.77,-1.5,1.69,0.29,0.2,7.0,15.0,1.61
theta[16],-0.05,0.67,-1.27,1.43,0.19,0.08,13.0,55.0,1.38
theta[17],0.63,0.84,-1.23,1.56,0.31,0.16,8.0,28.0,1.6
theta[18],0.21,0.64,-0.91,1.79,0.17,0.16,15.0,22.0,1.76
theta[19],-0.32,0.73,-2.04,1.18,0.18,0.2,15.0,44.0,1.66
theta[20],-0.24,1.4,-2.39,1.22,0.62,0.24,7.0,13.0,1.69
theta[21],-0.22,1.27,-2.17,1.58,0.55,0.23,6.0,11.0,1.76
theta[22],-0.33,1.66,-2.87,1.43,0.76,0.3,6.0,11.0,1.9
theta[23],-0.05,0.97,-1.34,1.59,0.38,0.13,6.0,18.0,1.78
theta[24],-0.07,0.87,-1.63,1.27,0.3,0.1,10.0,22.0,1.36
theta[25],0.33,1.05,-1.52,1.7,0.41,0.17,7.0,45.0,1.66
theta[26],-0.13,0.59,-1.36,0.91,0.15,0.09,14.0,84.0,1.46
theta[27],0.17,0.74,-1.26,1.8,0.2,0.16,11.0,42.0,1.32
theta[28],-0.15,0.73,-1.68,0.8,0.25,0.06,10.0,54.0,1.37
theta[29],0.08,0.67,-1.27,1.39,0.17,0.16,15.0,28.0,1.78
theta[30],0.23,0.8,-1.14,2.02,0.14,0.15,30.0,47.0,1.7
theta[31],0.18,1.06,-1.3,1.57,0.45,0.13,6.0,11.0,1.79
theta[32],-0.22,1.41,-2.19,1.44,0.64,0.13,6.0,24.0,1.82
theta[33],-0.1,0.54,-1.35,0.7,0.16,0.1,11.0,70.0,1.67
theta[34],0.2,0.59,-1.1,1.28,0.14,0.12,17.0,31.0,1.21
theta[35],-0.16,0.63,-1.5,0.76,0.19,0.11,10.0,46.0,1.61
theta[36],-0.86,1.41,-3.05,1.26,0.64,0.29,6.0,37.0,2.22
theta[37],-0.18,0.93,-1.48,1.66,0.34,0.08,9.0,39.0,1.44
theta[38],-0.6,0.93,-2.02,1.53,0.29,0.16,11.0,33.0,1.85
theta[39],-0.17,0.93,-1.76,1.58,0.38,0.13,6.0,21.0,1.69
theta[40],0.08,1.82,-2.2,2.76,0.87,0.35,5.0,16.0,2.47
theta[41],-0.21,0.79,-2.01,1.12,0.14,0.15,25.0,66.0,1.2
theta[42],0.45,1.06,-1.87,1.59,0.44,0.28,6.0,15.0,2.07
theta[43],0.21,0.86,-1.47,1.98,0.3,0.17,7.0,19.0,1.6
theta[44],-0.28,0.93,-1.5,0.95,0.38,0.08,8.0,14.0,1.53
theta[45],-0.03,0.7,-1.16,1.69,0.28,0.19,7.0,31.0,1.98
theta[46],-0.06,0.79,-1.27,2.22,0.18,0.2,16.0,27.0,1.55
theta[47],-0.62,0.92,-1.73,0.98,0.3,0.17,8.0,36.0,1.46
theta[48],-0.52,0.7,-1.62,1.05,0.19,0.1,15.0,65.0,1.91
theta[49],-0.89,0.85,-1.64,1.02,0.36,0.24,6.0,9.0,2.16
theta[50],-0.58,4.46,-5.0,4.86,2.21,0.15,5.0,5.0,2.27
