,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[0],-0.0,1.0,-1.89,1.89,0.0,0.01,46748.0,23678.0,1.0
theta[1],-0.0,1.0,-1.82,1.93,0.0,0.01,43321.0,24386.0,1.0
theta[2],-0.01,1.0,-1.9,1.84,0.0,0.01,44251.0,24328.0,1.0
theta[3],-0.0,1.0,-1.88,1.9,0.0,0.01,50072.0,24428.0,1.0
theta[4],-0.0,0.98,-1.83,1.86,0.0,0.01,52003.0,25509.0,1.0
theta[5],-0.0,0.99,-1.82,1.87,0.0,0.01,46438.0,24966.0,1.0
theta[6],-0.01,1.0,-1.88,1.84,0.0,0.01,44270.0,25326.0,1.0
theta[7],-0.0,0.99,-1.85,1.89,0.0,0.01,45419.0,24545.0,1.0
theta[8],0.01,1.0,-1.86,1.91,0.0,0.01,51507.0,24722.0,1.0
theta[9],0.0,1.0,-1.92,1.82,0.0,0.01,45808.0,24982.0,1.0
theta[10],0.0,1.01,-1.88,1.91,0.0,0.01,50956.0,24021.0,1.0
theta[11],-0.0,1.0,-1.88,1.84,0.0,0.01,42176.0,25101.0,1.0
theta[12],-0.0,1.0,-1.89,1.88,0.0,0.01,49443.0,24735.0,1.0
theta[13],-0.0,1.0,-1.86,1.88,0.0,0.01,46183.0,24242.0,1.0
theta[14],0.0,1.0,-1.93,1.83,0.0,0.01,42833.0,23850.0,1.0
theta[15],0.0,1.01,-1.9,1.91,0.0,0.01,42870.0,24186.0,1.0
theta[16],0.01,0.99,-1.82,1.88,0.0,0.01,43649.0,25089.0,1.0
theta[17],0.01,0.98,-1.81,1.89,0.0,0.01,48531.0,26112.0,1.0
theta[18],0.01,1.0,-1.84,1.88,0.0,0.01,44430.0,25133.0,1.0
theta[19],0.01,1.0,-1.86,1.89,0.0,0.01,42194.0,24537.0,1.0
theta[20],0.01,1.0,-1.84,1.91,0.0,0.01,48124.0,25681.0,1.0
theta[21],-0.0,0.99,-1.92,1.79,0.0,0.01,49273.0,24815.0,1.0
theta[22],0.0,0.99,-1.84,1.9,0.0,0.01,47078.0,24916.0,1.0
theta[23],-1.36,4.04,-5.0,4.97,2.0,0.85,5.0,26.0,2.1
theta[24],-2.01,2.15,-5.0,1.27,0.95,0.02,6.0,77.0,1.69
theta[25],-0.0,1.0,-1.88,1.88,0.0,0.01,46456.0,25455.0,1.0
theta[26],-0.0,1.0,-1.87,1.88,0.0,0.01,50054.0,23922.0,1.0
theta[27],-0.0,1.0,-1.88,1.87,0.0,0.01,47446.0,24735.0,1.0
theta[28],-0.01,1.0,-1.9,1.86,0.0,0.01,48219.0,25598.0,1.0
theta[29],-0.0,1.0,-1.88,1.86,0.0,0.01,45320.0,25189.0,1.0
theta[30],-0.0,1.0,-1.89,1.85,0.0,0.01,47395.0,25363.0,1.0
theta[31],0.0,1.0,-1.93,1.83,0.0,0.01,49826.0,23598.0,1.0
theta[32],-0.01,1.0,-1.88,1.87,0.0,0.01,43555.0,25104.0,1.0
theta[33],0.01,1.01,-1.93,1.86,0.0,0.01,44308.0,24942.0,1.0
theta[34],0.01,0.99,-1.85,1.89,0.0,0.01,48550.0,25125.0,1.0
theta[35],-0.0,1.01,-1.86,1.92,0.0,0.01,52628.0,24941.0,1.0
theta[36],-0.0,1.0,-1.9,1.86,0.0,0.01,44233.0,24078.0,1.0
theta[37],-0.0,1.0,-1.88,1.85,0.0,0.01,47582.0,25463.0,1.0
theta[38],-0.0,1.0,-1.83,1.9,0.0,0.01,47281.0,24479.0,1.0
theta[39],-0.01,1.0,-1.83,1.9,0.0,0.01,49291.0,25206.0,1.0
theta[40],0.43,2.89,-2.12,5.0,1.44,0.65,5.0,26.0,2.1
theta[41],0.0,0.99,-1.83,1.86,0.0,0.01,48672.0,25050.0,1.0
theta[42],-0.0,1.0,-1.91,1.84,0.0,0.01,50037.0,25157.0,1.0
theta[43],0.0,1.0,-1.91,1.87,0.0,0.01,47419.0,24558.0,1.0
theta[44],0.01,1.0,-1.82,1.94,0.0,0.01,43819.0,24221.0,1.0
theta[45],0.0,1.0,-1.88,1.88,0.0,0.01,44448.0,22465.0,1.0
theta[46],-0.0,1.0,-1.87,1.91,0.0,0.01,47154.0,25626.0,1.0
theta[47],-0.0,1.0,-1.88,1.88,0.0,0.01,40882.0,24910.0,1.0
theta[48],-0.0,1.01,-1.91,1.9,0.0,0.01,48473.0,24011.0,1.0
theta[49],0.0,0.99,-1.9,1.8,0.0,0.01,48040.0,24873.0,1.0
theta[50],0.0,1.0,-1.88,1.87,0.0,0.01,45672.0,25139.0,1.0
